iter	Passed	Remaining
0	150	150729
1	152	76188
2	154	51292
3	155	38636
4	155	31016
5	156	25965
6	157	22342
7	158	19621
8	159	17590
9	161	15979
10	162	14640
11	163	13472
12	164	12482
13	164	11619
14	165	10868
15	165	10208
16	166	9640
17	167	9130
18	168	8708
19	170	8342
20	171	7974
21	171	7626
22	172	7310
23	172	7022
24	173	6755
25	173	6514
26	174	6292
27	175	6081
28	175	5887
29	176	5709
30	177	5540
31	178	5389
32	179	5266
33	180	5137
34	182	5032
35	183	4925
36	184	4802
37	185	4698
38	186	4587
39	186	4483
40	187	4382
41	187	4285
42	188	4194
43	189	4108
44	189	4030
45	191	3967
46	191	3890
47	192	3820
48	193	3750
49	193	3683
50	194	3619
51	195	3563
52	196	3505
53	196	3448
54	197	3393
55	198	3339
56	198	3290
57	199	3240
58	200	3193
59	201	3154
60	202	3118
61	204	3086
62	205	3052
63	206	3020
64	207	2989
65	209	2960
66	210	2929
67	211	2902
68	212	2871
69	213	2842
70	215	2814
71	216	2786
72	217	2761
73	218	2736
74	219	2710
75	220	2681
76	221	2653
77	222	2625
78	223	2600
79	224	2576
80	224	2552
81	225	2528
82	226	2500
83	227	2476
84	228	2454
85	229	2433
86	230	2413
87	231	2396
88	232	2376
89	233	2358
90	234	2338
91	235	2321
92	236	2303
93	237	2285
94	237	2267
95	238	2249
96	239	2231
97	240	2212
98	240	2192
99	241	2173
100	242	2154
101	242	2136
102	243	2118
103	243	2100
104	244	2085
105	245	2070
106	246	2057
107	247	2041
108	247	2025
109	248	2009
110	249	1994
111	249	1979
112	250	1964
113	250	1949
114	251	1935
115	252	1921
116	252	1906
117	253	1892
118	253	1879
119	254	1865
120	255	1852
121	255	1838
122	256	1825
123	256	1812
124	257	1800
125	257	1788
126	258	1775
127	258	1764
128	259	1752
129	260	1740
130	260	1729
131	261	1717
132	261	1706
133	262	1695
134	262	1684
135	263	1674
136	264	1664
137	264	1653
138	265	1644
139	266	1634
140	266	1624
141	267	1613
142	267	1603
143	268	1594
144	268	1584
145	269	1575
146	269	1566
147	270	1557
148	271	1548
149	271	1539
150	272	1530
151	272	1522
152	273	1513
153	273	1505
154	274	1496
155	275	1488
156	275	1480
157	276	1472
158	276	1464
159	277	1456
160	277	1447
161	278	1439
162	279	1432
163	279	1425
164	280	1417
165	280	1410
166	281	1403
167	281	1396
168	282	1389
169	283	1382
170	283	1374
171	284	1367
172	284	1360
173	285	1353
174	285	1347
175	286	1340
176	286	1333
177	287	1327
178	288	1321
179	288	1315
180	289	1308
181	289	1302
